Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
1998WX31                Class-c   3   1  6.161  0.095 29.252  3.312 ------ ------ ------  0.638  0.083  0.034  0.653  0.081  0.010 ------ ------ ------  0.400  0.235  0.000 ------ ------ ------
1998WY24                Class-c   2   1  6.443  0.086 29.094  3.185 ------ ------ ------  0.620  0.092  0.000  0.680  0.078  0.000 ------ ------ ------  0.400  0.240  0.000 ------ ------ ------
1998WZ31                Res-3:2   3   1  8.049  0.115  6.687  4.513  0.727  0.093  0.000  0.489  0.114  0.032  0.339  0.114  0.040 ------ ------ ------  0.400  0.234  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BB 
1999CB119               Class-h   1   1  6.731  0.076 33.869  2.678  1.212  0.102  0.000  0.714  0.076  0.000  0.645  0.062  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
1999CF119               Detachd   3   1  6.929  0.133 14.704  4.163 ------ ------ ------  0.622  0.115  0.071  0.365  0.106  0.026 ------ ------ ------  0.380  0.226  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BR 
#
1999CH119               Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.320  0.266  0.000 ------ ------ ------
1999CJ119               Class-c   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.450  0.265  0.000 ------ ------ ------
1999CL119               Class-h   2   1  5.697  0.072 19.530  3.359 ------ ------ ------  0.497  0.077  0.000  0.665  0.094  0.000 ------ ------ ------  0.450  0.282  0.000 ------ ------ ------
1999CQ133               Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.460  0.282  0.000 ------ ------ ------
1999CX131               Reson.    3   1  6.907  0.107 19.520  4.293  0.918  0.124  0.000  0.664  0.128  0.068  0.434  0.105  0.020 ------ ------ ------  0.370  0.238  0.000 ------ ------ ------
#                      - Ful+08 TAXO=RR 
#
