Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
2010ES65                Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=11.8 0.3 diam=26.9 -7.9 +7.9 pV=0.049 -0.024 +0.024 fixeta=0.8 -0.28 +0.28 
2010FH92                Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=11.7 0.3 diam=28.0 -0.6 +0.6 pV=0.047 -0.007 +0.007 freeta=0.73 -0.023 +0.023 
2010GW147               Scatter   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=13.2 0.3 diam=15.9 -0.7 +0.7 pV=0.037 -0.006 +0.006 freeta=0.869 -0.056 +0.056 
2010GW64                Scatter   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=14.9 0.3 diam=6.42 -0.38 +0.38 pV=0.047 -0.012 +0.012 freeta=0.795 -0.075 +0.075 
2010JH124               Scatter   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=14.6 0.3 diam=7.04 -0.74 +0.74 pV=0.052 -0.024 +0.024 freeta=0.959 -0.164 +0.164 
#
2010OM101               Centaur   2   1 ------ ------ 16.526  3.589  0.795  0.056  0.019  0.588  0.093  0.077  0.360  0.070  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=17.0 0.3 diam=3.12 -0.17 +0.17 pV=0.029 -0.005 +0.005 freeta=1.054 -0.105 +0.105 
2010OR1                 Centaur   2   1 ------ ------ 12.588  1.758  0.781  0.043  0.025  0.517  0.029  0.005  0.447  0.037  0.024 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=16.2 0.3 diam=3.25 -0.64 +0.64 pV=0.055 -0.013 +0.013 freeta=0.831 -0.146 +0.146 
2010TS191               JTrojan   1   1  7.799  0.030  2.578  4.691  0.760  0.040  0.000  0.390  0.050  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2010TT191               JTrojan   1   1  7.642  0.030  9.808  3.793  0.750  0.030  0.000  0.470  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2010WG9                 Scatter   4   1 ------ ------ 12.120  2.900  0.781  0.044  0.021  0.492  0.047  0.041  0.458  0.091  0.085 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=8.1 0.3 diam=112.7 -61.9 +61.9 pV=0.074 -0.080 +0.080 fixeta=0.8 -0.423 +0.423 
#
2011HM102               Scatter   1   1  7.948  0.080  8.382  1.982  0.720  0.040  0.000  0.410  0.040  0.000  0.520  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2011MM4                 Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=9.3 0.3 diam=63.7 -6.2 +6.2 pV=0.083 -0.024 +0.024 freeta=0.841 -0.119 +0.119 
2012DR30                Scatter   3   1  7.016  0.031 13.241  1.341  0.647  0.038  0.000  0.563  0.034  0.000  0.422  0.036  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Kis+13 nodate ThermalIR tel=H+W hmag=7.04 0.35 emi=0.9 - diam=188 -9.4 +9.4 pV=0.076 -0.025 +0.031 freeta=0.813 -0.062 +0.074 Includes WISE 
2012VP113               Detachd   2   1  3.911  0.030 15.284  1.982  0.920  0.064  0.000  0.520  0.040  0.000  0.530  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2012YO6                 Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.340  0.050  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2013AZ60                Scatter   1   1 ------ ------ 16.587  1.301  0.820  0.010  0.000  0.540  0.010  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2013BL76                Scatter   1   1 ------ ------  7.951  4.691  0.920  0.050  0.000  0.450  0.050  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2013BO16                JTrojan   1   1 16.340  0.060 28.167  2.909  1.140  0.080  0.000  0.650  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - MPC08 Resonant 1:2 
2013CX217               JTrojan   1   1 15.484  0.030 -6.535  3.793  0.850  0.100  0.000  0.280  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2013CY197               JTrojan   1   1 15.603  0.010 18.001  1.087  0.880  0.028  0.000  0.510  0.020  0.000  0.610  0.020  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2013KY18                JTrojan   1   1  6.512  0.010  0.004  2.056  0.760  0.010  0.000  0.360  0.020  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2013LD16                Scatter   1   1 ------ ------  7.035  2.909  0.860  0.050  0.000  0.440  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2013NS11                Centaur   1   1 ------ ------ 18.602  3.792  0.740  0.020  0.000  0.560  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2013ST39                JTrojan   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=12.1 0.3 diam=24.0 -1.5 +1.5 pV=0.044 -0.010 +0.010 freeta=1.22 -0.094 +0.094 
2013TZ158               JTrojan   4   1 10.027  0.765 14.948  1.099  0.790  0.030  0.000  0.536  0.030  0.020  0.497  0.025  0.015 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=9.0 0.3 diam=46.0 -13.0 +13.0 pV=0.033 -0.015 +0.015 freeta=0.64 -0.29 +0.29 
#                        J09 Cometary activity, CO-driven. CO+ and CN detected. 
#                        J09 Dynamically a Centaur 
#
2013YG48                Centaur   2   1 ------ ------ 14.117  3.820  0.800  0.036  0.030  0.515  0.040  0.035 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2014CW14                Scatter   1   1 ------ ------ 13.628  5.596  0.870  0.090  0.000  0.510  0.060  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2014QO441               JTrojan   1   1  7.793  0.010  9.809  2.909  0.750  0.030  0.000  0.470  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2060-Chiron             Centaur  36   1  6.091  0.068  0.026  1.001  0.660  0.055  0.049  0.359  0.018  0.005  0.324  0.024  0.010  1.153  0.100  0.070  0.293  0.078  0.009  0.065  0.093  0.011
#                      - For+13 nodate ThermalIR tel=S+H hmag=5.92 0.2 emi=0.9 - diam=218 -20 +20 pV=0.16 -0.03 +0.03 Includes SPIRE, using a thermophysical model 
#                        Ful+08 TAXO=BB 
#                        Mee+09 Cometary activity 
#                        Rom+03 SPECTRUM=Water ice 
2223-Sarpedon           JTrojan   1   1  9.213  0.046  8.785  1.244  0.753  0.032  0.000  0.465  0.025  0.000  0.440  0.041  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2357-Phereclos          JTrojan   1   1  8.794  0.078  7.601  1.876  0.718  0.059  0.000  0.427  0.045  0.000  0.463  0.068  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
3548-Eurybates          JTrojan   1   1 ------ ------ -0.087  1.847  0.677  0.052  0.000  0.352  0.045  0.000  0.339  0.067  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
4035-1986WD             JTrojan   2   1  9.491  0.080 10.258  1.995  0.752  0.040  0.000  0.484  0.043  0.011  0.451  0.069  0.002 ------ ------ ------ ------ ------ ------ ------ ------ ------
4829-Sergestus          JTrojan   1   1 11.061  0.068  4.196  1.856  0.851  0.050  0.000  0.420  0.039  0.000  0.372  0.065  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
5130-Ilioneus           JTrojan   1   1  9.678  0.048  9.188  1.378  0.763  0.034  0.000  0.481  0.026  0.000  0.424  0.046  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
5145-Pholus             Centaur  45   1  7.143  0.078 47.951  2.098  1.261  0.121  0.045  0.791  0.037  0.009  0.818  0.060  0.015  2.612  0.048  0.036  0.391  0.047  0.017 -0.037  0.047  0.010
#                      - Cru+98 SPECTRUM=Methanol 
#                        Duf+14 nodate ThermalIR tel=S+H hmag=7.68 0.28 emi=0.9 - diam=99 -14 +15 pV=0.155 -0.049 +0.076 freeta=0.77 -0.16 +0.16 
#                        Ful+08 TAXO=RR 
5244-Amphilochos        JTrojan   1   1 ------ ------  3.187  1.754 ------ ------ ------  0.407  0.044  0.000  0.363  0.064  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
5258-1989AU1            JTrojan   1   1 ------ ------  8.233  1.590 ------ ------ ------  0.466  0.041  0.000  0.425  0.059  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
5511-Cloanthus          JTrojan   1   1 10.263  0.047 10.774  1.229  0.906  0.027  0.000  0.442  0.027  0.000  0.526  0.042  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
6545-1986TR6            JTrojan   1   1 10.190  0.073 10.572  1.962  0.734  0.041  0.000  0.499  0.042  0.000  0.436  0.069  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
6998-Tithonus           JTrojan   1   1 11.304  0.059  8.155  1.282  0.787  0.040  0.000  0.455  0.032  0.000  0.438  0.046  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
7066-Nessus             Centaur  18   1  9.052  0.075 39.777  3.448  1.090  0.040  0.000  0.763  0.059  0.024  0.689  0.087  0.017  2.290  0.040  0.000  0.309  0.268  0.058 -0.089  0.385  0.126
#                      - Duf+14 nodate ThermalIR tel=S hmag=9.51 0.22 emi=0.9 - diam=57 -14 +17 pV=0.086 -0.034 +0.075 fixeta=1.2 -0.35 +0.35 
#                        Ful+08 TAXO=RR 
7352-1994CO             JTrojan   1   1  9.892  0.056  4.815  1.629  0.713  0.036  0.000  0.417  0.034  0.000  0.397  0.056  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
8405-Asbolus            Centaur  44   1  8.996  0.060 12.765  1.370  0.738  0.038  0.007  0.508  0.053  0.033  0.505  0.038  0.008  1.654  0.048  0.011  0.386  0.103  0.044  0.170  0.171  0.028
#                      - Duf+14 nodate ThermalIR tel=S+H hmag=9.13 0.25 emi=0.9 - diam=85 -9 +8 pV=0.056 -0.015 +0.019 freeta=0.97 -0.18 +0.14 
#                        Ful+08 TAXO=BR 
#                        Ker+00 SPECTRUM=Water ice 
9030-1989UX5            JTrojan   1   1 10.986  0.047 11.783  1.115  0.887  0.024  0.000  0.493  0.027  0.000  0.480  0.039  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
9430-Erichthonio        JTrojan   1   1 11.327  0.106 10.723  3.060  0.742  0.079  0.000  0.488  0.060  0.000  0.456  0.109  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
9818-Eurymachos         JTrojan   1   1 ------ ------ -0.162  1.824  0.673  0.052  0.000  0.339  0.046  0.000  0.355  0.067  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
10199-Chariklo          Centaur  69   1  6.484  0.018 13.425  0.908  0.802  0.049  0.025  0.491  0.016  0.004  0.519  0.015  0.004  1.685  0.110  0.104  0.417  0.047  0.010  0.101  0.050  0.013
#                      - For+13 nodate ThermalIR tel=S+H+W hmag=7.4 0.25 emi=0.9 - diam=248 -18 +18 pV=0.035 -0.01 +0.01 Spitzer+Herschel+WISE, using a Thermophysical model 
#                        Ful+08 TAXO=BR 
#                        Gui+09 SPECTRUM=Water ice 
10370-Hylonome          Centaur  27   1  9.240  0.159  9.668  6.478  0.690  0.110  0.068  0.469  0.154  0.057  0.496  0.189  0.064  1.310  0.100  0.000  0.180  0.085  0.000  0.270  0.092  0.000
#                      - Duf+14 nodate ThermalIR tel=S+H hmag=9.51 0.08 emi=0.9 - diam=74 -16 +16 pV=0.051 -0.017 +0.030 freeta=1.29 -0.31 +0.31 
#                        Ful+08 TAXO=BR 
11089-1994CS8           JTrojan   1   1 10.693  0.098  4.732  2.619  0.689  0.073  0.000  0.423  0.056  0.000  0.384  0.094  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
11351-Leucus            JTrojan   1   1 10.756  0.076  9.325  2.033  0.739  0.044  0.000  0.498  0.044  0.000  0.402  0.072  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
11488-1988RM11          JTrojan   2   1 11.470  0.203  6.507  2.832  0.777  0.110  0.073  0.436  0.062  0.004  0.420  0.103  0.002 ------ ------ ------ ------ ------ ------ ------ ------ ------
11663-1997GO24          JTrojan   1   1 10.853  0.052  6.580  1.438  0.837  0.030  0.000  0.409  0.030  0.000  0.463  0.049  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
12917-1998TG16          JTrojan   2   1 11.458  0.073 11.839  1.962  0.724  0.042  0.000  0.537  0.042  0.000  0.410  0.069  0.000  1.707  0.066  0.000  0.475  0.086  0.000  0.205  0.081  0.000
12921-1998WZ5           JTrojan   2   1 10.946  0.073  3.492  1.876  0.673  0.040  0.000  0.403  0.047  0.019  0.380  0.068  0.014 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
13463-Antiphos          JTrojan   2   1 11.066  0.066  7.093  1.913  0.692  0.045  0.000  0.449  0.034  0.000  0.412  0.066  0.000  1.417  0.048  0.000  0.343  0.055  0.000  0.103  0.052  0.000
13862-1999XT160         JTrojan   1   1 ------ ------  2.203  1.754 ------ ------ ------  0.381  0.044  0.000  0.370  0.064  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
14707-2000CC20          JTrojan   2   1 11.358  0.112  4.232  1.902  0.752  0.041  0.002  0.412  0.035  0.012  0.385  0.067  0.019 ------ ------ ------ ------ ------ ------ ------ ------ ------
15094-Polymele          JTrojan   3   1 11.550  0.118  5.186  2.495  0.652  0.065  0.000  0.477  0.065  0.000  0.322  0.094  0.000  1.401  0.066  0.043  0.342  0.062  0.000  0.095  0.058  0.000
15502-1999NV27          JTrojan   3   1  9.951  0.075  7.367  1.724  0.766  0.047  0.000  0.445  0.036  0.000  0.430  0.060  0.000  1.565  0.046  0.023  0.492  0.041  0.000  0.152  0.034  0.003
#
15504-1999RG33          Centaur   2   1 11.987  0.052  3.430  2.703  0.817  0.047  0.015  0.495  0.099  0.085  0.350  0.050  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
15535-2000AT177         JTrojan   4   1 10.526  0.075  9.836  2.098  0.739  0.043  0.012  0.470  0.049  0.024  0.461  0.082  0.043  1.681  0.045  0.006  0.500  0.048  0.000  0.123  0.047  0.000
15760-Albion            Class-c   5   1  6.984  0.094 27.538  4.806  0.869  0.143  0.079  0.707  0.093  0.048  0.651  0.166  0.116 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
#                        MPC nodate 1992 QB1 
15788-1993SB            Res-3:2   6   1  8.035  0.143 12.407  4.044  0.802  0.071  0.017  0.475  0.077  0.012  0.514  0.114  0.018 ------ ------ ------  0.450  0.253  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BR 
#                        Ful+08 TAXO=BR 
15789-1993SC            Res-3:2  17   1  6.747  0.077 34.698  4.012  1.045  0.117  0.066  0.688  0.074  0.030  0.697  0.093  0.054  2.236  0.200  0.101  0.412  0.240  0.015 -0.040  0.197  0.000
#                      - Ful+08 TAXO=RR 
#                        JL01 SPECTRUM=Methane 
#
15807-1994GV9           Class-c   1   1  6.807  0.091 38.552  0.000 ------ ------ ------  0.740  0.099  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
15809-1994JS            Reson.    2   1  7.474  0.160 28.194  6.000 ------ ------ ------  0.760  0.170  0.000  0.480  0.149  0.000 ------ ------ ------  0.460  0.705  0.000 ------ ------ ------
#                      - MPC08 Resonant 3:5 
15810-Arawn             Res-3:2  15   1  6.867  0.079 15.860  4.717  1.010  0.180  0.000  0.632  0.110  0.062  0.538  0.098  0.015 ------ ------ ------  0.430  0.242  0.000 ------ ------ ------
#                      - MPC nodate 1994 JR1 
15820-1994TB            Res-3:2  16   1  7.507  0.116 37.669  3.728  1.107  0.126  0.020  0.697  0.075  0.021  0.739  0.099  0.018  2.368  0.162  0.109  0.428  0.119  0.014  0.120  0.120  0.000
#                      - Ful+08 TAXO=RR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=7.934 0.354 emi=0.9 - diam=85 -28 +36 pV=0.172 -0.097 +0.258 freeta=1.26 -0.65 +0.97 
15836-1995DA2           Reson.    6   1  7.803  0.091 16.356  5.630 ------ ------ ------  0.550  0.110  0.000  0.500  0.160  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - MPC08 Resonant 3:4 
#
15874-1996TL66          Scatter  17   1  5.214  0.131  1.451  2.858  0.687  0.072  0.050  0.369  0.052  0.037  0.370  0.077  0.051  1.452  0.114  0.102  0.267  0.144  0.060 -0.018  0.138  0.027
#                      - Ful+08 TAXO=BB 
#                        SaS+12 nodate ThermalIR tel=S+H hmag=5.39 0.12 emi=0.9 - diam=339 -20 +20 pV=0.11 -0.015 +0.021 freeta=1.15 -0.05 +0.08 
15875-1996TP66          Res-3:2   8   1  6.967  0.076 30.636  3.598  1.031  0.112  0.080  0.655  0.076  0.021  0.673  0.086  0.051  2.309  0.060  0.000  0.170  0.078  0.000  0.020  0.092  0.000
#                      - Ful+08 TAXO=RR 
#                        Mom+12 nodate ThermalIR tel=S+H hmag=7.51 0.09 emi=0.9 - diam=154 -33.7 +28.8 pV=0.074 -0.031 +0.063 fixeta=1.2 -0.35 +0.35 
15883-1997CR29          Class-h   3   1  7.072  0.135 20.484  7.048  0.750  0.152  0.057  0.538  0.157  0.101  0.620  0.182  0.081 ------ ------ ------  0.490  0.320  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BR 
15977-1998MA11          JTrojan   1   1 10.618  0.046  8.770  1.049  0.748  0.033  0.000  0.465  0.025  0.000  0.441  0.036  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
16684-1994JQ1           Class-c   8   1  6.640  0.113 31.346  4.713  1.134  0.068  0.039  0.736  0.101  0.069  0.650  0.123  0.032 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=RR 
#
17416-1988RR10          JTrojan   1   1 12.727  0.097 12.135  2.732  0.742  0.071  0.000  0.488  0.055  0.000  0.498  0.097  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
18060-1999XJ156         JTrojan   1   1 ------ ------  3.456  1.719  0.758  0.056  0.000  0.412  0.043  0.000  0.364  0.063  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
18137-2000OU30          JTrojan   1   1 11.139  0.057  9.115  1.218  0.733  0.039  0.000  0.496  0.031  0.000  0.409  0.044  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
18268-Dardanos          JTrojan   1   1 12.084  0.070 12.538  1.495  0.795  0.042  0.000  0.529  0.040  0.000  0.451  0.056  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
18493-Demoleon          JTrojan   2   1 10.841  0.083  3.154  2.460  0.703  0.073  0.000  0.395  0.047  0.000  0.380  0.087  0.000  1.383  0.045  0.014  0.384  0.046  0.005  0.091  0.040  0.015
#
18940-2000QV49          JTrojan   1   1 11.661  0.097  8.449  2.608  0.709  0.072  0.000  0.465  0.055  0.000  0.429  0.093  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
19255-1994VK8           Class-c   4   1  7.019  0.163 24.540  5.861  1.010  0.060  0.000  0.659  0.095  0.014  0.490  0.255  0.000 ------ ------ ------  0.520  0.297  0.000 ------ ------ ------
#                      - Ful+08 TAXO=RR 
19299-1996SZ4           Res-3:2   5   1  8.338  0.166 13.725  4.694  0.754  0.100  0.073  0.522  0.061  0.021  0.446  0.154  0.110 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR 
19308-1996TO66          Class-h  16   1  4.524  0.042  2.077  2.168  0.671  0.057  0.021  0.389  0.043  0.012  0.356  0.053  0.016  0.997  0.101  0.000 ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BB 
#                        Pei+12 f SPECTRUM=Water ice 
#                        RB07 FAMILY=2003EL61 SPECTRUM=Strong water ice 
19521-Chaos             Class-h  14   1  4.507  0.090 23.292  2.396  0.932  0.054  0.025  0.608  0.041  0.015  0.571  0.087  0.069  1.835  0.087  0.053  0.400  0.095  0.012  0.033  0.094  0.021
#                      - Ful+08 TAXO=IR 
#                        MPC nodate 1998 WH24 
#                        Vil+12 nodate ThermalIR tel=S+H hmag=5 0.06 emi=0.9 - diam=600 -130 +140 pV=0.05 -0.016 +0.03 freeta=2.2 -1.1 +1.2 
#
20000-Varuna            Class-h  12   1  3.471  0.072 26.491  1.867  0.906  0.052  0.030  0.626  0.035  0.010  0.628  0.040  0.021  2.010  0.050  0.000  0.564  0.070  0.000 -0.038  0.105  0.000
#                      - Ful+08 TAXO=IR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=3.76 0.035 emi=0.9 - diam=668 -86 +154 pV=0.127 -0.042 +0.04 freeta=2.18 -0.49 +1.04 
#                        MPC nodate 2000 WR106 
#                        Pei+12 g SPECTRUM=Water ice 
20108-1995QZ9           Res-3:2   3   1  7.895  0.399 14.510  3.460  0.880  0.040  0.000  0.515  0.050  0.009 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
20161-1996TR66          Reson.    1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------  0.470  0.296  0.000 ------ ------ ------
#                      - MPC08 Resonant 1:2 
20738-1999XG191         JTrojan   2   1 11.541  0.073 10.132  1.962  0.776  0.041  0.000  0.472  0.042  0.000  0.467  0.069  0.000  1.593  0.062  0.000  0.520  0.084  0.000  0.113  0.081  0.000
23549-Epicles           JTrojan   1   1 11.809  0.118  7.916  2.720  0.800  0.071  0.000  0.485  0.068  0.000  0.387  0.101  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
23694-1997KZ3           JTrojan   1   1 11.375  0.053  8.337  1.151  0.723  0.035  0.000  0.474  0.029  0.000  0.418  0.041  0.000  1.657  0.033  0.000  0.493  0.033  0.000  0.211  0.028  0.000
24233-1999XD94          JTrojan   1   1 11.411  0.071  9.103  1.978  0.704  0.051  0.000  0.481  0.037  0.000  0.418  0.069  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24341-2000AJ87          JTrojan   1   1 11.977  0.067  2.026  1.928  0.713  0.043  0.000  0.369  0.035  0.000  0.390  0.067  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24380-2000AA160         JTrojan   1   1 ------ ------  1.556  1.804  0.734  0.055  0.000  0.391  0.048  0.000  0.336  0.068  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24390-2000AD177         JTrojan   2   1 11.600  0.066 12.512  1.913  0.700  0.042  0.000  0.513  0.034  0.000  0.462  0.066  0.000  1.684  0.048  0.000  0.461  0.055  0.000  0.140  0.052  0.000
#
24420-2000BU22          JTrojan   1   1 ------ ------  2.931  1.742  0.937  0.066  0.000  0.441  0.042  0.000  0.304  0.063  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24426-2000CR12          JTrojan   1   1 ------ ------  5.604  1.660  0.717  0.054  0.000  0.414  0.043  0.000  0.424  0.062  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24444-2000OP32          JTrojan   1   1 11.432  0.093  6.264  2.536  0.712  0.071  0.000  0.437  0.053  0.000  0.409  0.090  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24452-2000QU167         JTrojan   1   1 11.757  0.099  6.333  2.377  0.872  0.056  0.000  0.441  0.056  0.000  0.406  0.087  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
24467-2000SS165         JTrojan   1   1 11.771  0.104 11.221  2.463  0.927  0.079  0.000  0.460  0.060  0.000  0.513  0.091  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#
24835-1995SM55          Class-h  10   1  4.336  0.040  0.272  1.805  0.652  0.032  0.008  0.357  0.043  0.025  0.356  0.052  0.023  1.010  0.050  0.000 -0.270  0.163  0.000 ------ ------ ------
#                      - Ful+08 TAXO=BB 
#                        Pei+12 g SPECTRUM=Water ice 
#                        Rab+08 BETA=0.060 0.027 
#                        Rab+08 FAMILY=2003EL61 
#                        RB07 FAMILY=2003EL61 SPECTRUM=Strong water ice 
24952-1997QJ4           Res-3:2   4   1  7.628  0.194  4.695  4.772  0.763  0.114  0.053  0.431  0.114  0.070  0.396  0.102  0.032 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Ful+08 TAXO=BR-BB 
24978-1998HJ151         Class-c   2   1  7.003  0.050 29.628  2.427  1.110  0.030  0.000  0.710  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
25347-1999RQ116         JTrojan   1   1 11.566  0.075 10.900  2.252  0.618  0.058  0.000  0.488  0.042  0.000  0.461  0.079  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
26181-1996GQ21          Reson.    9   1  4.625  0.172 37.090  2.023  0.999  0.059  0.010  0.697  0.050  0.028  0.694  0.056  0.000  2.438  0.062  0.030  0.497  0.082  0.007  0.055  0.096  0.006
#                      - Ful+08 TAXO=RR 
#                        Pei+12 g SPECTRUM=Methanol 
#
26308-1998SM165         Reson.    9   2  5.555  0.107 31.425  2.295  0.989  0.114  0.020  0.641  0.056  0.020  0.666  0.072  0.018  2.295  0.087  0.062  0.546  0.086  0.052  0.080  0.071  0.000
#                      - Ful+08 TAXO=RR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=6.023 0.075 emi=0.9 - diam=291 -26 +22 pV=0.083 -0.013 +0.018 freeta=1.55 -0.1 +0.11 
#                        MPC08 Resonant 1:2 
26308-1998SM165+B       Reson.    1   2 ------ ------ 31.037  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
26375-1999DE9           Reson.   14   1  4.803  0.045 20.625  1.625  0.967  0.043  0.026  0.579  0.036  0.004  0.568  0.043  0.007  1.717  0.193  0.180  0.327  0.106  0.023  0.025  0.108  0.023
#                      - Ful+08 TAXO=IR 
#                        Lel+13 nodate ThermalIR tel=S+H hmag=5.154 0.046 emi=0.9 - diam=311 -32 +29 pV=0.163 -0.026 +0.041 freeta=0.71 -0.11 +0.1 
#                        Pei+12 h SPECTRUM=Featureless 
