# File: All_Surveys_v11-free-cla_m.detections-full
# 
# Creation time: 2021-03-02T16:40:53.000  +0100
# 
# Colors used
# 
# 0.90e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 0.60e0 0.0e0 -0.5e0 -1.0e0 1.5e0 1.2e0  0.8e0 -0.1e0 -0.5e0 0.0e0
# 
# Grid size:
# h_step:  0.1
# a_step:  0.2
# q_step:  0.2
# si_step: 0.001
# 
          a          e        i    ifree     Omega    Omfree     omega    omfree        tperi    cl      object       MPC  
  42.558074   0.036753    2.912    1.918    114.41     86.72   145.978   100.348    25158.391   cla       o3l45   K13U17S  
  46.611773   0.078935    2.471     0.99    82.107   321.878   327.011   350.812    65464.772   cla       o3l46   K13U15P  
  43.068025   0.033726      2.1    2.089   141.763   117.252    124.84    69.727    27335.424   cla       o3l47   K13SA0V  
  43.025667   0.026526    4.007     2.72    42.049   297.336   204.557   230.151    20308.352   cla       o3l48   K13U17T  
  43.029581   0.018114    6.789    5.805    26.913   292.398   149.167   164.573   101932.659   cla       o3l49   K13U18A  
  43.327117   0.049191    3.727    2.017    64.105   325.536   203.805   220.441    26743.408   cla       o3l50   K13U15O  
  45.146339   0.032709    3.558    2.601    134.81    69.615    278.01   251.623    66955.018   cla       o3l51   K13U18B  
  42.649699   0.040288    2.238    1.018   101.626    93.298   128.848    62.546    17725.849   cla       o3l52   K13SA1C  
  46.554501   0.055949    1.782    1.599   152.147   112.707   216.697   159.855    55823.817   cla       o3l53   K13SA1G  
  44.792857   0.110427    0.932    0.803    99.071   169.651   191.284    30.537    34021.265   cla       o3l54   K13U18G  
  44.004084    0.09623    2.357    1.315    52.923   277.844   221.513   270.139    30242.385   cla       o3l55   K13U16Y  
  43.520523   0.025253    2.948    1.517     57.52   301.849     97.52   129.769    96709.399   cla       o3l56   K13U17N  
  42.442374   0.053352    1.318    1.265    37.821   215.277    141.54   252.619   103374.848   cla       o3l58   K13SA1F  
  43.634246   0.025484    6.215    6.725   182.438   113.797   348.862    333.17   102482.929   cla       o3l59   K13SA0N  
  44.814195   0.075279    2.664    1.939   136.835     86.38   325.921   286.095    81891.663   cla       o3l60   K06QI1F  
  45.132794   0.054247    3.363    3.337    166.07   103.707   118.283    89.104    30140.134   cla       o3l63   K13U15N  
  44.354805   0.073408    1.972    0.397    78.108   299.073    43.407    94.197    86446.199   cla       o3l64   K13U16W  
  43.563163   0.043148    2.947    1.533   110.162     58.76    56.548    24.182   100940.164   cla       o3l66   K13SA0J  
  44.323674   0.052819    4.459    3.853    29.346    278.42   225.721   248.603    21958.849   cla       o3l67   K13U17Y  
  43.597529   0.057067    2.886     1.05    81.891   354.237   144.329   147.999    14004.843   cla       o3l69   K13U18X  
  46.433013   0.196079   10.458   10.784   193.205   105.801   282.034   273.406    80535.054   cla       o3l70   K13U18F  
  45.318574   0.013675    1.927     0.26     94.26    15.613    73.643     60.11   103142.806   cla       o3l71   K13U17W  
  44.313547   0.071562    3.114    2.518   141.995    88.136     5.343   331.109    93958.644   cla       o3l73   K13U17R  
  45.831656   0.144061    2.462    2.516    21.499   248.923   249.438   288.092    29509.158   cla       o3l74   K13SA0O  
  43.635637   0.070078    8.454    7.593    27.855   292.089   164.128   175.763     4613.802   cla       o3l75   K13SA0Z  
  44.150909   0.092835    3.468    2.266    51.995   297.997   175.334   202.113    15906.182   cla       o3l76   K13S99Q  
  42.769012   0.113085   27.342   28.183   189.131   116.406    15.969    12.037     8822.522   cla       o3l77   K13U15Q  
  46.296355   0.166151    8.478    8.001    27.813   281.591   114.041   124.917    93465.973   cla       o3l79   K13SA0A  
  45.592876   0.180161   24.176   23.813    17.575   280.788   152.171   156.155   103383.404   cla       o3l81   K13SA0R  
  44.012292   0.082314    1.435    0.908   116.888    126.97   104.703     8.092    12885.584   cla       o3l84   K13U22R  
  46.199942   0.189472   11.707   10.079    98.218     3.555   184.373   183.875    66058.975   cla       o3o21   K13J65R  
  40.569913   0.021489   13.728   16.204   201.598   178.876      39.0    38.795    56038.665   cla       o3o22   K13J65S  
  41.277028   0.063823   12.468   14.636   192.071   153.474   334.588   329.459    39328.237   cla       o3o23   K13J65P  
  42.412897   0.080485    9.958   10.683   175.121   115.222   116.501   105.224    69833.955   cla       o3o24   K13J65O  
  44.259367   0.122052    8.413    7.243    131.46    53.248    52.649     42.98    43363.574   cla       o3o26   K13J65Q  
  40.672061    0.01212    19.64    18.29    79.919    60.065   337.535   331.137     9800.602   cla       o3o28   K13J65N  
  46.615519   0.197741    8.573    8.269   170.291    84.575   358.564   347.716    39384.122   cla       o3o30   K13J65T  
  46.778968   0.123524   11.205    9.602    92.147   354.409   308.676   309.483   108533.545   cla       o3o35   K13J65M  
  46.392265   0.128142   10.498    8.897   104.554    10.377     90.45    88.845    45436.076   cla       o3o51   K13J67X  
  43.523588   0.127214   10.692    12.33   233.543   154.318   168.128   163.801    59668.449   cla       o4h19   K14UM5K  
  46.342329   0.198921    7.954    9.075   225.127   137.411   189.407   181.434    63240.768   cla       o4h20   K14UM5L  
  42.911075    0.09505    13.89   15.523   221.487   147.816   231.618   227.231    72808.782   cla       o4h23   K14UM8J  
  42.712913   0.068616    2.339    4.106   295.658   201.576    42.373    61.007     45085.78   cla       o4h25   K14UM9K  
  43.350637    0.05209    2.558    3.747   327.821   218.488    59.998    87.226    56541.649   cla       o4h28   K14UM8Y  
  46.581802   0.142064    5.082     6.62   255.887   164.422   167.383   162.478    65512.493   cla       o4h33   K14UM8L  
  42.917669   0.035165    6.012    7.909   239.568   166.083   201.208   196.671    70666.816   cla       o4h34   K14UM9E  
  41.665957   0.049085   11.857    14.17   211.997   160.893    53.583    49.635    26164.927   cla       o4h36   K14UM9Z  
  42.661959    0.09753     2.58    4.627   252.048   178.475     34.91    33.699    32192.791   cla       o4h38   K14UM9L  
  43.966182   0.072799    8.397    8.503   358.922   260.609   113.371   125.552    78719.147   cla       o4h41   K14UM9H  
   45.53717   0.112571    3.834    4.786   337.687    226.45   325.606   343.939    34038.331   cla       o4h42   K14UM9C  
  43.531599   0.141153    2.586    4.091   309.627   207.109   204.463   223.488    89830.314   cla       o4h44   K13P76S  
  43.361976   0.129642    3.662    4.364   343.412   236.044   294.865   320.057    30209.998   cla       o4h45   K14UM5D  
  45.115039   0.119304    2.135    3.776   289.482   190.096    33.274    41.242    41080.041   cla       o4h46   K14UN0C  
  42.081747   0.155023    6.911    6.262     0.601   276.319   241.566    261.08    19059.122   cla       o4h48   K01RE3Y  
  42.444529   0.128638    3.406    4.078   339.513   236.597   191.298   222.763    94022.966   cla       o4h49   K14UM8P  
  43.711338   0.066182    4.491    6.207   241.453   163.363   333.023   326.344     7290.497   cla       o4h50   K14UM5E  
  44.952443   0.047482    5.492    5.946   353.682   246.459   144.549    161.05    89267.637   cla       o4h51   K14UM8C  
  41.384951   0.096186   21.022   23.493   222.443   176.135   223.832   223.367    69807.196   cla       o4h74   K14UM9J  
  45.873742   0.172973   24.022   23.662    18.525   280.795    46.501    50.475    64845.938   cla       o4h75   K14UM8N  
  45.667084   0.175083    5.824    7.165   232.927   148.121   263.428   254.778    85866.395   cla       o4h77   K14UM9P  
  43.771039   0.065164    7.034    7.398   350.663   251.466   169.448   183.639    94331.663   cla       o4h78   K14UN1K  
  42.476876   0.130871    9.841   11.761   224.724   157.374   181.453   176.686    56111.018   cla      o5c033   K15VH0E  
   40.07267   0.059611   26.799     28.6    55.061   221.769   358.085     1.746    57620.394   cla      o5c035   K15VH0L  
  41.608197   0.103727   16.457   18.902   223.372    171.36   234.785   233.472    67748.475   cla      o5c037   K15VH0N  
  43.474388   0.173241    2.504    3.504   189.035   136.578   285.049   254.362    71343.412   cla      o5c041   K15VG9C  
  42.052179   0.075138    0.506    2.001   107.859   169.963   337.593   211.189    65276.566   cla      o5c042   K15VH0G  
  45.261923   0.129496    5.728     6.57    205.07   126.642   218.808   205.185    60361.009   cla      o5c044   K15VH0M  
  46.777527   0.153814   11.209   12.374   230.587   138.974   194.055   188.614    59949.296   cla      o5c045   K15VG9Y  
