Target  	JD		HVsys	HVp	HVs	sep	binary
2015VN172	2458696.107	7.112	0	0	0	0
2013SD101	2458766.811	7.114	0	0	0	0
2015GF58	2458868.072	7.118	0	0	0	0
2015GR56	2458935.267	7.122	0	0	0	0
2013GT137	2458650.918	7.129	0	0	0	0
2004PT117	2458665.107	7.155	0	0	0	0
2013SV100	2458771.775	7.155	0	0	0	0
2003UV291	2458690.413	7.164	0	0	0	0
2014UC228	2458696.963	7.166	0	0	0	0
2013GY137	2458875.089	7.174	0	0	0	0
2013UW17	2458694.513	7.184	0	0	0	0
2015VU169	2458829.839	7.184	0	0	0	0
2013SL100	2458728.941	7.198	0	0	0	0
2006QE181	2458733.722	7.211	0	0	0	0
2015VY170	2458750.330	7.211	0	0	0	0
2013GA138	2458644.691	7.212	0	0	0	0
2015GM58	2458886.476	7.222	0	0	0	0
2015VQ173	2458714.444	7.245	0	0	0	0
2015VU171	2458686.375	7.252	0	0	0	0
2013GE138	2458926.133	7.258	0	0	0	0
2015VE169	2458773.965	7.261	0	0	0	0
2015VP173	2458795.423	7.261	0	0	0	0
2013GW137	2458860.596	7.268	0	0	0	0
2015VY172	2458680.417	7.277	0	0	0	0
2015VK170	2458705.308	7.280	0	0	0	0
2015GC58	2458868.403	7.283	0	0	0	0
2000FG8	2458848.410	7.292	0	0	0	0
2015GJ57	2458884.159	7.308	0	0	0	0
2015RD280	2458793.096	7.310	0	0	0	0
2015VU168	2458797.007	7.314	0	0	0	0
2015GU57	2458870.455	7.319	0	0	0	0
2015VR168	2458776.498	7.338	0	0	0	0
2015GO57	2458873.301	7.342	0	0	0	0
2015GW56	2458940.300	7.352	0	0	0	0
2015VW170	2458794.226	7.352	0	0	0	0
2015VB169	2458698.490	7.362	0	0	0	0
2015VP168	2458797.205	7.382	0	0	0	0
2015VH173	2458693.131	7.386	0	0	0	0
2015VN171	2458793.372	7.400	0	0	0	0
2013SX100	2458678.492	7.418	0	0	0	0
2015VB171	2458697.364	7.429	0	0	0	0
2015GG57	2458925.072	7.438	0	0	0	0
2013UN17	2458694.446	7.442	0	0	0	0
2015GC57	2458870.984	7.448	0	0	0	0
2015VQ168	2458774.597	7.464	0	0	0	0
2015GB57	2458872.374	7.465	0	0	0	0
2015RE280	2458692.127	7.466	0	0	0	0
2015VZ169	2458683.330	7.498	0	0	0	0
2015VW168	2458779.264	7.502	8.041	8.615	4.6960	1
2014UL229	2458740.329	7.503	0	0	0	0
2015VF169	2458692.399	7.523	0	0	0	0
2013GS137	2458650.058	7.525	0	0	0	0
2013GR137	2458651.977	7.531	0	0	0	0
2015GW57	2458904.089	7.535	0	0	0	0
2015GL57	2458898.660	7.541	0	0	0	0
2015GF59	2458898.527	7.542	0	0	0	0
2013US17	2458727.495	7.545	0	0	0	0
2015GA57	2458901.373	7.545	0	0	0	0
2015GF56	2458884.490	7.545	0	0	0	0
2015GX56	2458879.597	7.546	0	0	0	0
2015GL58	2458883.498	7.557	0	0	0	0
2013SE101	2458696.431	7.563	0	0	0	0
2015VD169	2458687.368	7.566	0	0	0	0
2015GS56	2458860.120	7.587	0	0	0	0
2015VA169	2458796.146	7.607	0	0	0	0
2015GY57	2458937.320	7.608	0	0	0	0
2015VB173	2458695.577	7.616	0	0	0	0
2013UL17	2458767.482	7.621	0	0	0	0
2015RB280	2458764.631	7.630	0	0	0	0
2015GY56	2458939.373	7.636	0	0	0	0
2014UC229	2458659.225	7.658	0	0	0	0
2013UP17	2458745.955	7.660	0	0	0	0
2013SG101	2458696.564	7.664	0	0	0	0
2015GK58	2458867.344	7.671	0	0	0	0
2013UC18	2458746.948	7.683	0	0	0	0
